koi_period,koi_duration,koi_depth,koi_prad,fpp_prob,fpp_prob_heb,fpp_prob_ueb,fpp_prob_beb,koi_disposition
7.8774163,2.0805,1306.1,2.16,4.2e-06,5.5e-13,9.000000000000001e-18,4.1e-06,CONFIRMED
7.8774163,2.0805,1306.1,2.16,0.0008,1.7e-16,2.2e-13,1.2e-05,CONFIRMED
36.4454001,4.007,1122.3,1.99,2e-05,4.1e-14,5.7e-14,2e-05,CONFIRMED
36.4454001,4.007,1122.3,1.99,4.2e-06,5.5e-13,9.000000000000001e-18,4.1e-06,CONFIRMED
36.4454001,4.007,1122.3,1.99,0.0008,1.7e-16,2.2e-13,1.2e-05,CONFIRMED
3.728732147,2.683,5226.5,6.02,2.9e-05,2.2e-05,3.8e-27,6.8e-06,CONFIRMED
40.4195037,3.362,6256.0,7.51,0.13,0.0059,0.13,0.0014,CANDIDATE
2.243380573,1.1196,821.7,1.99,0.0096,5.4e-06,6.4e-06,0.0028,CONFIRMED
10.405998015,6.5036,14489.0,11.23,0.01,0.01,5.9e-17,4.6e-07,FALSE POSITIVE
2.337437946,1.9982,971.2,2.34,3.4e-05,9.8e-12,6.7e-21,3.4e-05,CONFIRMED
2.337437946,1.9982,971.2,2.34,0.92,0.1,0.61,0.14,CONFIRMED
7.2406612,0.558,556.4,19.45,3.4e-05,9.8e-12,6.7e-21,3.4e-05,CANDIDATE
7.2406612,0.558,556.4,19.45,0.92,0.1,0.61,0.14,CANDIDATE
3.43591631,3.133,23.2,0.55,7.1e-06,3.5e-06,3.6e-06,5.4e-09,CANDIDATE
3.43591631,3.133,23.2,0.55,5.1e-05,6.7e-06,2.5e-05,1.4e-05,CANDIDATE
3.43591631,3.133,23.2,0.55,0.04,7.3e-09,2.6e-08,0.0019,CANDIDATE
11.59822233,2.5237,2804.5,2.65,0.0011,3.9e-13,1.1e-21,0.0011,CONFIRMED
6.575315881,4.3084,2793.3,5.31,1.2e-06,1.2e-06,8.099999999999999e-33,5.5e-12,CONFIRMED
7.275040844,7.5377,3001.0,4.86,0.0059,5.1e-17,2.5e-53,4e-14,CONFIRMED
19.27153892,2.7594,1219.8,1.93,2.9e-06,2.5e-16,5.3999999999999986e-15,2.9e-06,CONFIRMED
19.27153892,2.7594,1219.8,1.93,0.00011,2.1e-05,1.2e-09,8.8e-05,CONFIRMED
10.06524317,1.369,1053.3,1.91,2.9e-06,2.5e-16,5.3999999999999986e-15,2.9e-06,CONFIRMED
10.06524317,1.369,1053.3,1.91,0.00011,2.1e-05,1.2e-09,8.8e-05,CONFIRMED
12.3935651,3.8896,916.6,2.66,2.7e-05,8.1e-13,5.2e-10,2.6e-05,CONFIRMED
43.84439721,6.802,615.2,2.87,0.0035,0.00019,0.0032,4e-05,CONFIRMED
43.84439721,6.802,615.2,2.87,0.00035,5e-05,5.2e-05,0.00024,CONFIRMED
43.84439721,6.802,615.2,2.87,0.21,9.3e-15,7.4e-15,0.041,CONFIRMED
43.84439721,6.802,615.2,2.87,0.0015,2.7e-09,9.9e-10,0.00044,CONFIRMED
3.341913228,3.813,725.3,21.55,1.0,1.8e-15,3.2e-17,0.035,FALSE POSITIVE
1.626630225,2.1145,1620.6,32.43,1.0,0.00036,0.1,0.0093,FALSE POSITIVE
2.711504086,3.0099,837.5,3.12,2.1e-10,6.9e-11,1.1e-10,1.8e-11,CONFIRMED
2.711504086,3.0099,837.5,3.12,0.00049,4.9e-10,0.00049,5.5e-06,CONFIRMED
7.21203748,4.0491,950.4,3.32,2.1e-10,6.9e-11,1.1e-10,1.8e-11,CONFIRMED
7.21203748,4.0491,950.4,3.32,0.00049,4.9e-10,0.00049,5.5e-06,CONFIRMED
14.1798187,2.505,459.9,1.88,,,,,FALSE POSITIVE
8.47237911,2.7245,1123.5,2.59,1.2e-05,9.6e-17,4.8999999999999993e-14,1.2e-05,CONFIRMED
8.47237911,2.7245,1123.5,2.59,0.00047,5e-08,3.5e-05,0.00031,CONFIRMED
60.4189369,5.039,931.3,2.36,1.2e-05,9.6e-17,4.8999999999999993e-14,1.2e-05,CONFIRMED
60.4189369,5.039,931.3,2.36,0.00047,5e-08,3.5e-05,0.00031,CONFIRMED
12.611904345,5.1497,6105.6,7.4,1.1e-05,1.1e-05,2.1e-25,8.5e-09,CONFIRMED
1.433769925,1.8868,1976.3,46.58,1.0,0.00043,0.11,0.063,FALSE POSITIVE
10.31872301,3.836,871.7,28.59,1.0,0.0069,0.08,0.32,FALSE POSITIVE
2.539183147,2.4282,382.1,2.06,4.8e-05,2.7000000000000002e-12,7e-09,4.7e-05,CONFIRMED
6.770300385,2.0844,1304.0,2.77,0.0025,1.3e-05,0.0023,0.00017,CONFIRMED
0.444291966,2.0792,10967.0,27.51,1.0,9.599999999999998e-125,4.8e-163,3e-25,FALSE POSITIVE
10.181584004,3.5089,5741.1,7.73,0.41,0.0094,0.33,0.0064,CANDIDATE
20.06036336,3.3203,1494.7,1.96,0.00012,4.3e-11,1.4e-20,0.00011,CONFIRMED
20.06036336,3.3203,1494.7,1.96,1.3e-05,1.5999999999999998e-14,1.7000000000000002e-20,1.1e-05,CONFIRMED
20.06036336,3.3203,1494.7,1.96,0.00037,8.9e-16,6.4e-17,0.00013,CONFIRMED
20.06036336,3.3203,1494.7,1.96,0.0017,1.1e-14,1.1e-17,0.0013,CONFIRMED
46.1842039,4.758,1394.7,1.83,0.00012,4.3e-11,1.4e-20,0.00011,CONFIRMED
46.1842039,4.758,1394.7,1.83,1.3e-05,1.5999999999999998e-14,1.7000000000000002e-20,1.1e-05,CONFIRMED
46.1842039,4.758,1394.7,1.83,0.00037,8.9e-16,6.4e-17,0.00013,CONFIRMED
46.1842039,4.758,1394.7,1.83,0.0017,1.1e-14,1.1e-17,0.0013,CONFIRMED
23.9800854,5.351,104.0,1.31,0.0035,0.00019,0.0032,4e-05,CONFIRMED
23.9800854,5.351,104.0,1.31,0.00035,5e-05,5.2e-05,0.00024,CONFIRMED
23.9800854,5.351,104.0,1.31,0.21,9.3e-15,7.4e-15,0.041,CONFIRMED
23.9800854,5.351,104.0,1.31,0.0015,2.7e-09,9.9e-10,0.00044,CONFIRMED
7.82502168,2.186,520.8,1.2,0.00012,4.3e-11,1.4e-20,0.00011,CONFIRMED
7.82502168,2.186,520.8,1.2,1.3e-05,1.5999999999999998e-14,1.7000000000000002e-20,1.1e-05,CONFIRMED
7.82502168,2.186,520.8,1.2,0.00037,8.9e-16,6.4e-17,0.00013,CONFIRMED
7.82502168,2.186,520.8,1.2,0.0017,1.1e-14,1.1e-17,0.0013,CONFIRMED
3.895936525,2.3111,8544.8,7.34,0.00012,9.1e-05,3.1e-05,1.4e-06,CONFIRMED
22.36646466,5.228,986.8,2.32,9.2e-05,3.4e-10,7.1e-13,8.9e-05,CONFIRMED
1.625522174,2.38963,7969.0,9.73,0.00034,0.00034,1.4e-17,4.2e-06,CONFIRMED
19.620346923,2.0038,21725.0,13.6,0.19,0.024,0.16,0.00078,CANDIDATE
7.544039,6.222,322.6,17.47,1.0,1.2000000000000001e-17,4.4e-06,0.19,FALSE POSITIVE
9.02930689,3.1449,1019.8,2.57,2.4e-05,2.7e-09,8.3e-08,2.4e-05,CONFIRMED
10.328035714,7.7915,16918.0,13.28,0.00018,0.00016,3.5999999999999996e-31,1.7e-05,FALSE POSITIVE
143.2063047,8.9302,10566.0,8.9,0.02,0.019,2.1e-07,0.00062,CONFIRMED
143.2063047,8.9302,10566.0,8.9,0.0055,0.0055,8.1e-06,3.7e-05,CONFIRMED
6.164876,3.262,55.8,0.79,0.0035,0.00019,0.0032,4e-05,CONFIRMED
